NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;3:47.939;0;;44.215;0;1:21.293;0;1:42.431;0;212.9;3:47.939;22:03:47.939;0:44.215;1:21.293;1:42.431;328.8;André LOTTERER;0:00:11.460;LMP1;;Rebellion Racing;Rebellion;
1;2;2;3:25.549;0;;32.331;0;1:18.767;0;1:34.451;0;238.6;7:13.488;22:07:13.488;0:32.331;1:18.767;1:34.451;333.9;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;3;3:21.809;0;;31.290;2;1:16.860;0;1:33.659;0;243.1;10:35.297;22:10:35.297;0:31.290;1:16.860;1:33.659;336.0;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;4;3:23.291;0;;32.612;0;1:17.297;0;1:33.382;1;241.3;13:58.588;22:13:58.588;0:32.612;1:17.297;1:33.382;341.3;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;5;3:22.049;0;;31.536;0;1:16.425;2;1:34.088;0;242.8;17:20.637;22:17:20.637;0:31.536;1:16.425;1:34.088;336.0;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;6;3:33.167;0;B;32.104;0;1:16.912;0;1:44.151;0;230.1;20:53.804;22:20:53.804;0:32.104;1:16.912;1:44.151;333.9;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;1;7;12:56.529;0;;10:02.270;0;1:19.172;0;1:35.087;0;63.2;33:50.333;22:33:50.333;10:02.270;1:19.172;1:35.087;332.9;Neel JANI;0:09:39.113;LMP1;;Rebellion Racing;Rebellion;
1;1;8;3:23.149;0;;32.786;0;1:18.158;0;1:32.205;0;241.5;37:13.482;22:37:13.482;0:32.786;1:18.158;1:32.205;332.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;9;3:27.305;0;;32.440;0;1:18.652;0;1:36.213;0;236.6;40:40.787;22:40:40.787;0:32.440;1:18.652;1:36.213;319.1;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;10;3:20.327;0;;31.661;1;1:16.744;1;1:31.922;1;244.9;44:01.114;22:44:01.114;0:31.661;1:16.744;1:31.922;333.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;11;3:33.012;0;B;33.077;0;1:17.708;0;1:42.227;0;230.3;47:34.126;22:47:34.126;0:33.077;1:17.708;1:42.227;334.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;3;12;5:35.540;0;;2:40.834;0;1:19.352;0;1:35.354;0;146.2;53:09.666;22:53:09.666;2:40.834;1:19.352;1:35.354;334.9;Bruno SENNA;0:02:16.477;LMP1;;Rebellion Racing;Rebellion;
1;3;13;3:24.194;0;;31.991;0;1:18.890;0;1:33.313;0;240.2;56:33.860;22:56:33.860;0:31.991;1:18.890;1:33.313;334.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;14;3:34.606;0;;31.934;0;1:30.178;0;1:32.494;0;228.6;1:00:08.466;23:00:08.466;0:31.934;1:30.178;1:32.494;334.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;15;4:10.335;0;;31.851;0;2:00.751;0;1:37.733;0;196.0;1:04:18.801;23:04:18.801;0:31.851;2:00.751;1:37.733;331.8;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;16;3:23.712;0;;32.905;0;1:17.770;0;1:33.037;0;240.8;1:07:42.513;23:07:42.513;0:32.905;1:17.770;1:33.037;332.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;17;3:49.985;0;B;32.157;0;1:18.948;0;1:58.880;0;213.3;1:11:32.498;23:11:32.498;0:32.157;1:18.948;1:58.880;336.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;18;13:10.269;0;;10:13.222;0;1:18.519;0;1:38.528;0;62.1;1:24:42.767;23:24:42.767;10:13.222;1:18.519;1:38.528;333.9;Bruno SENNA;0:10:06.175;LMP1;;Rebellion Racing;Rebellion;
1;3;19;3:22.494;0;;31.561;0;1:17.824;0;1:33.109;0;242.2;1:28:05.261;23:28:05.261;0:31.561;1:17.824;1:33.109;340.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;20;3:22.225;0;;32.763;0;1:17.321;0;1:32.141;0;242.6;1:31:27.486;23:31:27.486;0:32.763;1:17.321;1:32.141;337.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;21;4:03.120;0;;32.698;0;1:17.923;0;2:12.499;0;201.8;1:35:30.606;23:35:30.606;0:32.698;1:17.923;2:12.499;333.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;22;4:02.606;0;B;34.488;0;1:17.535;0;2:10.583;0;202.2;1:39:33.212;23:39:33.212;0:34.488;1:17.535;2:10.583;333.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;23;5:21.484;0;;2:25.923;0;1:18.224;0;1:37.337;0;152.6;1:44:54.696;23:44:54.696;2:25.923;1:18.224;1:37.337;329.8;Bruno SENNA;0:02:02.832;LMP1;;Rebellion Racing;Rebellion;
1;3;24;3:20.297;0;;31.980;0;1:16.815;1;1:31.502;2;244.9;1:48:14.993;23:48:14.993;0:31.980;1:16.815;1:31.502;333.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;25;3:25.324;0;;33.003;0;1:16.883;0;1:35.438;0;238.9;1:51:40.317;23:51:40.317;0:33.003;1:16.883;1:35.438;334.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;26;3:26.787;0;;31.630;0;1:17.798;0;1:37.359;0;237.2;1:55:07.104;23:55:07.104;0:31.630;1:17.798;1:37.359;336.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;27;3:30.471;0;B;31.534;1;1:19.461;0;1:39.476;0;233.1;1:58:37.575;23:58:37.575;0:31.534;1:19.461;1:39.476;310.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
10;2;1;3:42.823;0;;41.632;0;1:22.802;0;1:38.389;0;217.8;3:42.823;22:03:42.823;0:41.632;1:22.802;1:38.389;325.8;Ben HANLEY;0:00:09.095;LMP1;;DragonSpeed;BR Engineering;
10;2;2;3:23.539;0;;32.226;0;1:18.637;0;1:32.676;0;241.0;7:06.362;22:07:06.362;0:32.226;1:18.637;1:32.676;329.8;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;2;3;3:20.200;2;;31.484;2;1:17.164;2;1:31.552;2;245.0;10:26.562;22:10:26.562;0:31.484;1:17.164;1:31.552;333.9;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;2;4;3:25.434;0;;33.134;0;1:17.326;0;1:34.974;0;238.8;13:51.996;22:13:51.996;0:33.134;1:17.326;1:34.974;333.9;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;2;5;3:36.593;0;B;32.269;0;1:18.936;0;1:45.388;0;226.5;17:28.589;22:17:28.589;0:32.269;1:18.936;1:45.388;334.9;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;3;6;1:32:29.302;0;;2:19.036;0;1:28:32.507;0;1:37.759;0;8.8;1:49:57.891;23:49:57.891;2:19.036;1:28:32.507;1:37.759;331.8;Renger VAN DER ZANDE;0:01:52.990;LMP1;;DragonSpeed;BR Engineering;
10;3;7;3:27.779;0;;32.862;0;1:19.232;0;1:35.685;0;236.1;1:53:25.670;23:53:25.670;0:32.862;1:19.232;1:35.685;330.8;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
10;3;8;3:24.751;0;;32.409;0;1:18.461;1;1:33.881;1;239.6;1:56:50.421;23:56:50.421;0:32.409;1:18.461;1:33.881;334.9;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
10;3;9;3:26.377;0;;32.389;1;1:18.753;0;1:35.235;0;237.7;2:00:16.798;00:00:16.798;0:32.389;1:18.753;1:35.235;336.0;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
11;3;1;4:02.913;0;;59.664;0;1:20.281;0;1:42.968;0;199.8;4:02.913;22:04:02.913;0:59.664;1:20.281;1:42.968;316.3;Stoffel VANDOORNE;0:00:24.621;LMP1;;SMP Racing;BR Engineering;
11;3;2;3:20.934;2;;31.522;2;1:16.471;0;1:32.941;0;244.1;7:23.847;22:07:23.847;0:31.522;1:16.471;1:32.941;345.6;Stoffel VANDOORNE;;LMP1;;SMP Racing;BR Engineering;
11;3;3;3:21.768;0;;32.477;0;1:16.923;0;1:32.368;2;243.1;10:45.615;22:10:45.615;0:32.477;1:16.923;1:32.368;344.5;Stoffel VANDOORNE;;LMP1;;SMP Racing;BR Engineering;
11;3;4;3:30.375;0;B;33.264;0;1:16.092;1;1:41.019;0;233.2;14:15.990;22:14:15.990;0:33.264;1:16.092;1:41.019;345.6;Stoffel VANDOORNE;;LMP1;;SMP Racing;BR Engineering;
11;3;5;6:27.209;0;B;3:29.800;0;1:16.806;0;1:40.603;0;126.7;20:43.199;22:20:43.199;3:29.800;1:16.806;1:40.603;344.5;Stoffel VANDOORNE;0:03:07.802;LMP1;;SMP Racing;BR Engineering;
11;1;6;13:45.608;0;;10:45.185;0;1:21.503;0;1:38.920;0;59.4;34:28.807;22:34:28.807;10:45.185;1:21.503;1:38.920;343.4;Vitaly PETROV;0:10:21.810;LMP1;;SMP Racing;BR Engineering;
11;1;7;3:23.535;0;;31.958;1;1:17.350;0;1:34.227;0;241.0;37:52.342;22:37:52.342;0:31.958;1:17.350;1:34.227;345.6;Vitaly PETROV;;LMP1;;SMP Racing;BR Engineering;
11;1;8;3:28.711;0;;33.977;0;1:18.942;0;1:35.792;0;235.0;41:21.053;22:41:21.053;0:33.977;1:18.942;1:35.792;314.5;Vitaly PETROV;;LMP1;;SMP Racing;BR Engineering;
11;1;9;3:22.308;0;;32.147;0;1:16.989;1;1:33.172;1;242.5;44:43.361;22:44:43.361;0:32.147;1:16.989;1:33.172;347.8;Vitaly PETROV;;LMP1;;SMP Racing;BR Engineering;
11;1;10;3:37.626;0;B;33.283;0;1:20.386;0;1:43.957;0;225.4;48:20.987;22:48:20.987;0:33.283;1:20.386;1:43.957;258.2;Vitaly PETROV;;LMP1;;SMP Racing;BR Engineering;
11;2;11;17:05.385;0;;14:08.488;0;1:20.814;0;1:36.083;0;47.8;1:05:26.372;23:05:26.372;14:08.488;1:20.814;1:36.083;320.1;Mikhail ALESHIN;0:13:45.604;LMP1;;SMP Racing;BR Engineering;
11;2;12;3:24.680;0;;32.164;0;1:17.488;0;1:35.028;0;239.7;1:08:51.052;23:08:51.052;0:32.164;1:17.488;1:35.028;343.4;Mikhail ALESHIN;;LMP1;;SMP Racing;BR Engineering;
11;2;13;3:21.467;0;;31.868;1;1:15.971;2;1:33.628;1;243.5;1:12:12.519;23:12:12.519;0:31.868;1:15.971;1:33.628;340.2;Mikhail ALESHIN;;LMP1;;SMP Racing;BR Engineering;
11;2;14;4:04.925;0;B;32.625;0;1:18.278;0;2:14.022;0;200.3;1:16:17.444;23:16:17.444;0:32.625;1:18.278;2:14.022;341.3;Mikhail ALESHIN;;LMP1;;SMP Racing;BR Engineering;
11;2;15;11:30.057;0;;8:38.205;0;1:16.923;0;1:34.929;0;71.1;1:27:47.501;23:27:47.501;8:38.205;1:16.923;1:34.929;340.2;Mikhail ALESHIN;0:08:16.516;LMP1;;SMP Racing;BR Engineering;
11;2;16;3:26.019;0;;32.545;0;1:16.471;0;1:37.003;0;238.1;1:31:13.520;23:31:13.520;0:32.545;1:16.471;1:37.003;342.3;Mikhail ALESHIN;;LMP1;;SMP Racing;BR Engineering;
11;2;17;3:59.106;0;B;32.050;0;1:17.314;0;2:09.742;0;205.2;1:35:12.626;23:35:12.626;0:32.050;1:17.314;2:09.742;345.6;Mikhail ALESHIN;;LMP1;;SMP Racing;BR Engineering;
11;2;18;12:35.421;0;;9:43.212;0;1:17.960;0;1:34.249;0;64.9;1:47:48.047;23:47:48.047;9:43.212;1:17.960;1:34.249;340.2;Mikhail ALESHIN;0:09:20.075;LMP1;;SMP Racing;BR Engineering;
11;2;19;6:15.618;0;B;34.152;0;1:19.869;0;4:21.597;0;130.6;1:54:03.665;23:54:03.665;0:34.152;1:19.869;4:21.597;325.8;Mikhail ALESHIN;;LMP1;;SMP Racing;BR Engineering;
17;2;1;4:07.145;0;;1:03.887;0;1:20.937;0;1:42.321;0;196.4;4:07.145;22:04:07.145;1:03.887;1:20.937;1:42.321;329.8;Egor ORUDZHEV;0:00:31.990;LMP1;;SMP Racing;BR Engineering;
17;2;2;3:17.633;2;;31.236;2;1:15.640;2;1:30.757;2;248.2;7:24.778;22:07:24.778;0:31.236;1:15.640;1:30.757;345.6;Egor ORUDZHEV;;LMP1;;SMP Racing;BR Engineering;
17;2;3;3:25.549;0;;32.013;0;1:16.974;0;1:36.562;0;238.6;10:50.327;22:10:50.327;0:32.013;1:16.974;1:36.562;309.1;Egor ORUDZHEV;;LMP1;;SMP Racing;BR Engineering;
17;2;4;3:31.984;0;B;32.266;0;1:18.011;0;1:41.707;0;231.4;14:22.311;22:14:22.311;0:32.266;1:18.011;1:41.707;345.6;Egor ORUDZHEV;;LMP1;;SMP Racing;BR Engineering;
17;2;5;7:18.032;0;B;4:16.225;0;1:18.196;0;1:43.611;0;112.0;21:40.343;22:21:40.343;4:16.225;1:18.196;1:43.611;331.8;Egor ORUDZHEV;0:03:53.013;LMP1;;SMP Racing;BR Engineering;
17;3;6;7:47.233;0;;3:19.668;0;2:47.270;0;1:40.295;0;105.0;29:27.576;22:29:27.576;3:19.668;2:47.270;1:40.295;261.3;Sergey SIROTKIN;0:02:57.053;LMP1;;SMP Racing;BR Engineering;
17;3;7;3:26.035;0;;31.657;1;1:19.136;0;1:35.242;0;238.1;32:53.611;22:32:53.611;0:31.657;1:19.136;1:35.242;344.5;Sergey SIROTKIN;;LMP1;;SMP Racing;BR Engineering;
17;3;8;3:26.117;0;;31.750;0;1:18.300;0;1:36.067;0;238.0;36:19.728;22:36:19.728;0:31.750;1:18.300;1:36.067;324.9;Sergey SIROTKIN;;LMP1;;SMP Racing;BR Engineering;
