NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;4:00.965;0;B;57.638;0;1:21.056;0;1:42.271;0;201.4;4:00.965;19:04:00.965;0:57.638;1:21.056;1:42.271;297.2;Neel JANI;0:00:24.216;LMP1;;Rebellion Racing;Rebellion;
1;1;2;16:11.037;0;;13:23.131;0;1:16.692;0;1:31.214;0;50.5;20:12.002;19:20:12.002;13:23.131;1:16.692;1:31.214;337.0;Neel JANI;0:13:01.246;LMP1;;Rebellion Racing;Rebellion;
1;1;3;3:19.748;0;;31.080;3;1:15.535;2;1:33.133;0;245.6;23:31.750;19:23:31.750;0:31.080;1:15.535;1:33.133;339.1;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;4;5:32.578;0;B;31.483;0;1:17.618;0;3:43.477;0;147.5;29:04.328;19:29:04.328;0:31.483;1:17.618;3:43.477;337.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;5;24:27.189;0;;21:33.407;0;1:19.466;0;1:34.316;0;33.4;53:31.517;19:53:31.517;21:33.407;1:19.466;1:34.316;331.8;Neel JANI;0:21:09.208;LMP1;;Rebellion Racing;Rebellion;
1;1;6;3:17.313;2;;31.500;0;1:15.758;0;1:30.055;2;248.6;56:48.830;19:56:48.830;0:31.500;1:15.758;1:30.055;336.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;7;3:20.154;0;;31.246;0;1:17.486;0;1:31.422;0;245.1;1:00:08.984;20:00:08.984;0:31.246;1:17.486;1:31.422;320.1;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;8;3:31.039;0;B;31.445;0;1:16.335;0;1:43.259;0;232.4;1:03:40.023;20:03:40.023;0:31.445;1:16.335;1:43.259;341.3;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;2;9;5:28.312;0;;2:33.793;0;1:17.943;0;1:36.576;0;149.4;1:09:08.335;20:09:08.335;2:33.793;1:17.943;1:36.576;334.9;André LOTTERER;0:02:11.373;LMP1;;Rebellion Racing;Rebellion;
1;2;10;3:25.204;0;;32.315;0;1:17.790;0;1:35.099;0;239.0;1:12:33.539;20:12:33.539;0:32.315;1:17.790;1:35.099;334.9;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;11;3:23.238;0;;32.264;0;1:17.209;0;1:33.765;0;241.4;1:15:56.777;20:15:56.777;0:32.264;1:17.209;1:33.765;334.9;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;12;3:23.646;0;;32.448;0;1:17.157;0;1:34.041;0;240.9;1:19:20.423;20:19:20.423;0:32.448;1:17.157;1:34.041;336.0;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;13;3:31.076;0;B;32.064;0;1:17.004;1;1:42.008;0;232.4;1:22:51.499;20:22:51.499;0:32.064;1:17.004;1:42.008;336.0;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;14;8:27.993;0;;5:34.627;0;1:18.006;0;1:35.360;0;96.6;1:31:19.492;20:31:19.492;5:34.627;1:18.006;1:35.360;333.9;André LOTTERER;0:05:11.654;LMP1;;Rebellion Racing;Rebellion;
1;2;15;3:21.646;0;;32.118;0;1:18.385;0;1:31.143;1;243.3;1:34:41.138;20:34:41.138;0:32.118;1:18.385;1:31.143;336.0;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;16;4:17.311;0;B;31.429;1;2:00.793;0;1:45.089;0;190.6;1:38:58.449;20:38:58.449;0:31.429;2:00.793;1:45.089;337.0;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;3;17;6:02.680;0;;3:09.337;0;1:17.824;0;1:35.519;0;135.3;1:45:01.129;20:45:01.129;3:09.337;1:17.824;1:35.519;338.1;Bruno SENNA;0:02:46.949;LMP1;;Rebellion Racing;Rebellion;
1;3;18;3:33.593;0;B;31.910;0;1:17.102;0;1:44.581;0;229.7;1:48:34.722;20:48:34.722;0:31.910;1:17.102;1:44.581;337.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;19;4:52.052;0;;2:00.789;0;1:17.093;0;1:34.170;0;168.0;1:53:26.774;20:53:26.774;2:00.789;1:17.093;1:34.170;338.1;Bruno SENNA;0:01:39.009;LMP1;;Rebellion Racing;Rebellion;
1;3;20;3:23.663;0;;31.839;1;1:16.936;1;1:34.888;0;240.9;1:56:50.437;20:56:50.437;0:31.839;1:16.936;1:34.888;334.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;21;3:22.858;0;;32.798;0;1:17.529;0;1:32.531;1;241.8;2:00:13.295;21:00:13.295;0:32.798;1:17.529;1:32.531;333.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
10;3;1;3:45.698;0;;48.256;0;1:21.307;0;1:36.135;0;215.0;3:45.698;19:03:45.698;0:48.256;1:21.307;1:36.135;324.9;Renger VAN DER ZANDE;0:00:14.927;LMP1;;DragonSpeed;BR Engineering;
10;3;2;3:23.728;0;;32.527;0;1:17.876;0;1:33.325;2;240.8;7:09.426;19:07:09.426;0:32.527;1:17.876;1:33.325;337.0;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
10;3;3;3:23.672;2;;32.454;0;1:17.529;0;1:33.689;0;240.8;10:33.098;19:10:33.098;0:32.454;1:17.529;1:33.689;334.9;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
10;3;4;3:23.941;0;;32.435;2;1:17.480;2;1:34.026;0;240.5;13:57.039;19:13:57.039;0:32.435;1:17.480;1:34.026;337.0;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
10;3;5;3:32.935;0;B;32.960;0;1:17.717;0;1:42.258;0;230.4;17:29.974;19:17:29.974;0:32.960;1:17.717;1:42.258;336.0;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
10;1;6;5:13.516;0;;2:11.302;0;1:22.890;0;1:39.324;0;156.5;22:43.490;19:22:43.490;2:11.302;1:22.890;1:39.324;321.0;Henrik HEDMAN;0:01:41.466;LMP1;;DragonSpeed;BR Engineering;
10;1;7;5:22.298;0;B;33.439;0;1:21.724;0;3:27.135;0;152.2;28:05.788;19:28:05.788;0:33.439;1:21.724;3:27.135;333.9;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;1;8;29:35.873;0;;26:31.605;0;1:23.875;0;1:40.393;0;27.6;57:41.661;19:57:41.661;26:31.605;1:23.875;1:40.393;278.1;Henrik HEDMAN;0:26:01.317;LMP1;;DragonSpeed;BR Engineering;
10;1;9;3:33.722;0;;33.689;0;1:20.346;0;1:39.687;0;229.5;1:01:15.383;20:01:15.383;0:33.689;1:20.346;1:39.687;332.9;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;1;10;3:36.687;0;;33.612;0;1:24.982;0;1:38.093;0;226.4;1:04:52.070;20:04:52.070;0:33.612;1:24.982;1:38.093;267.1;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;1;11;3:34.199;0;;36.118;0;1:21.066;0;1:37.015;0;229.0;1:08:26.269;20:08:26.269;0:36.118;1:21.066;1:37.015;330.8;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;1;12;3:30.733;0;;33.249;0;1:20.023;0;1:37.461;0;232.8;1:11:57.002;20:11:57.002;0:33.249;1:20.023;1:37.461;331.8;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;1;13;3:30.877;0;;33.207;1;1:19.801;1;1:37.869;0;232.6;1:15:27.879;20:15:27.879;0:33.207;1:19.801;1:37.869;292.4;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;1;14;3:30.473;0;;33.571;0;1:20.139;0;1:36.763;1;233.1;1:18:58.352;20:18:58.352;0:33.571;1:20.139;1:36.763;332.9;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;1;15;3:46.491;0;B;34.119;0;1:20.518;0;1:51.854;0;216.6;1:22:44.843;20:22:44.843;0:34.119;1:20.518;1:51.854;333.9;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;2;16;5:57.435;0;B;1:53.414;0;1:21.464;1;2:42.557;0;137.2;1:28:42.278;20:28:42.278;1:53.414;1:21.464;2:42.557;324.9;Ben HANLEY;0:01:30.217;LMP1;;DragonSpeed;BR Engineering;
11;2;1;3:30.571;0;;40.341;0;1:17.929;0;1:32.301;0;230.5;3:30.571;19:03:30.571;0:40.341;1:17.929;1:32.301;341.3;Mikhail ALESHIN;0:00:08.274;LMP1;;SMP Racing;BR Engineering;
11;2;2;3:16.953;2;;31.602;1;1:15.084;2;1:30.267;2;249.1;6:47.524;19:06:47.524;0:31.602;1:15.084;1:30.267;345.6;Mikhail ALESHIN;;LMP1;;SMP Racing;BR Engineering;
11;2;3;3:30.420;0;B;31.937;0;1:17.566;0;1:40.917;0;233.1;10:17.944;19:10:17.944;0:31.937;1:17.566;1:40.917;345.6;Mikhail ALESHIN;;LMP1;;SMP Racing;BR Engineering;
11;1;4;43:18.496;0;;40:21.585;0;1:19.025;0;1:37.886;0;18.9;53:36.440;19:53:36.440;40:21.585;1:19.025;1:37.886;339.1;Vitaly PETROV;0:39:57.686;LMP1;;SMP Racing;BR Engineering;
11;1;5;3:19.220;0;;31.596;0;1:16.166;1;1:31.458;1;246.2;56:55.660;19:56:55.660;0:31.596;1:16.166;1:31.458;342.3;Vitaly PETROV;;LMP1;;SMP Racing;BR Engineering;
