NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;3:45.639;0;;51.896;0;1:19.523;0;1:34.220;0;215.1;3:45.639;22:03:45.639;0:51.896;1:19.523;1:34.220;329.8;André LOTTERER;0:00:20.079;LMP1;;Rebellion Racing;Rebellion;
1;2;2;3:17.694;0;;31.536;0;1:16.159;0;1:29.999;0;248.1;7:03.333;22:07:03.333;0:31.536;1:16.159;1:29.999;336.0;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;3;3:16.810;2;;31.041;2;1:15.924;2;1:29.845;2;249.2;10:20.143;22:10:20.143;0:31.041;1:15.924;1:29.845;337.0;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;4;4:10.285;0;B;31.898;0;1:17.001;0;2:21.386;0;196.0;14:30.428;22:14:30.428;0:31.898;1:17.001;2:21.386;337.0;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;3;5;5:10.391;0;;2:17.100;0;1:18.346;0;1:34.945;0;158.0;19:40.819;22:19:40.819;2:17.100;1:18.346;1:34.945;337.0;Bruno SENNA;0:02:00.023;LMP1;;Rebellion Racing;Rebellion;
1;3;6;3:28.500;0;;32.959;0;1:18.220;0;1:37.321;0;235.3;23:09.319;22:23:09.319;0:32.959;1:18.220;1:37.321;334.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;7;3:25.695;0;;33.136;0;1:18.569;0;1:33.990;1;238.5;26:35.014;22:26:35.014;0:33.136;1:18.569;1:33.990;336.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;8;5:04.530;0;;31.766;1;1:17.747;1;3:15.017;0;161.1;31:39.544;22:31:39.544;0:31.766;1:17.747;3:15.017;337.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;9;4:02.540;0;;1:07.621;0;1:19.862;0;1:35.057;0;202.2;35:42.084;22:35:42.084;1:07.621;1:19.862;1:35.057;320.1;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
10;1;1;1:10:24.616;0;;1:07:12.805;0;1:26.235;0;1:45.576;0;11.5;1:10:24.616;23:10:24.616;1:07:12.805;1:26.235;1:45.576;305.6;Henrik HEDMAN;1:06:36.350;LMP1;;DragonSpeed;BR Engineering;
10;1;2;3:56.084;0;;35.159;0;1:25.950;0;1:54.975;0;207.8;1:14:20.700;23:14:20.700;0:35.159;1:25.950;1:54.975;331.8;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;1;3;3:44.498;0;;34.878;0;1:25.856;0;1:43.764;0;218.5;1:18:05.198;23:18:05.198;0:34.878;1:25.856;1:43.764;322.0;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;1;4;3:48.960;0;;36.591;0;1:27.319;0;1:45.050;0;214.2;1:21:54.158;23:21:54.158;0:36.591;1:27.319;1:45.050;253.9;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;1;5;3:51.214;0;B;35.203;0;1:23.165;0;1:52.846;0;212.2;1:25:45.372;23:25:45.372;0:35.203;1:23.165;1:52.846;330.8;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;2;6;10:17.723;0;;7:23.018;0;1:19.092;0;1:35.613;2;79.4;1:36:03.095;23:36:03.095;7:23.018;1:19.092;1:35.613;330.8;Ben HANLEY;0:07:00.580;LMP1;;DragonSpeed;BR Engineering;
10;2;7;3:25.902;2;;32.296;0;1:17.709;0;1:35.897;0;238.2;1:39:28.997;23:39:28.997;0:32.296;1:17.709;1:35.897;336.0;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;2;8;3:32.501;0;B;31.785;2;1:17.534;2;1:43.182;0;230.8;1:43:01.498;23:43:01.498;0:31.785;1:17.534;1:43.182;334.9;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
